train_loss,val_loss,train_acc,val_acc
0.6527967418089835,0.6351030924517638,0.4940014114326041,0.4840764331210191
0.6372462004612429,0.6338882021083954,0.5299929428369795,0.48089171974522293
0.6343985117062264,0.6346434373764476,0.5222300635144672,0.49044585987261147
0.6214041324593942,0.6411162155449011,0.5479887085391673,0.4872611464968153
0.6210182402953348,0.6397330009253921,0.5610444601270289,0.48089171974522293
0.616225026237687,0.6382180972463766,0.5613973182780522,0.49363057324840764
0.6108077475531638,0.638596686967619,0.5758645024700071,0.5
0.6117476122052886,0.6359132046152831,0.5751587861679605,0.5159235668789809
0.6052869043050725,0.6387430429458618,0.5737473535638673,0.49044585987261147
0.603007508947888,0.636486010946286,0.5825688073394495,0.49044585987261147
0.595653668876761,0.637107016554304,0.6012702893436839,0.5
0.589791525015969,0.6406320470153906,0.6160903316866619,0.4872611464968153
